"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Search pets by various criteria","1","0","Find pet by ID with a valid ID","0"
"0","","0","Search pets by various criteria","1","0","Find pets by status","0"
"0","","0","Search pets by various criteria","1","0","Find pets by tags with an invalid tag","0"
"0","","0","End-to-End User Management in the Swagger Petstore API","1","0","Create, retrieve, log in, and log out a user in one test","0"
"0","","0","Manage pets in the Swagger Petstore API","1","0","Update an existing pet","0"
"0","","0","Manage pets in the Swagger Petstore API","1","0","The user successfully adds a pet with a valid ID 1","0"
"0","","0","Search pets by various criteria","1","0","Find pets by tags","0"
"0","","0","Search pets by various criteria","1","0","Find pets by status with an invalid status","0"
"0","","0","Search pets by various criteria","1","0","Find pet by ID with an invalid ID","0"
"0","","0","Manage pets in the Swagger Petstore API","1","0","The user successfully deletes a pet with ID 2","0"
"0","","0","Manage pets in the Swagger Petstore API","1","0","The user successfully adds a pet with a valid ID 2","0"
